	sample_type	sampling_date	treatment	site	replicate	ch4_rate	h20_perc	som_perc	RNA_extrac_pmoA	RNA_extrac_SSU
114	in_situ	june_2016	grazed	sv1	1	53.12	89.9	8.42	140731.407153323	74917.3901999721
115	in_situ	june_2016	grazed	sv1	1	178.32	91.08	7.07	110798.828432548	140460.654510241
121	in_situ	june_2016	grazed	sv1	2	88.41	91.31	6.32	151394.057494165	120932.292451533
122	in_situ	june_2016	grazed	sv1	2	114.54	92.94	5.89	157738.215317852	118263.626408359
128	in_situ	june_2016	grazed	sv2	1	318.13	93.03	5.7	200080.411679545	166282.454752446
129	in_situ	june_2016	grazed	sv2	1	169.41	91.11	7.17	78990.3949435805	112713.851657489
135	in_situ	june_2016	grazed	sv2	2	215.47	90.21	8.23	148369.861236747	164440.148473977
136	in_situ	june_2016	grazed	sv2	2	96.47	87.48	9.77	124099.543980426	83907.9362455426
144	in_situ	june_2016	exclosed	sv1	1	50.65	85.93	10.95	122878.530560774	131109.395271346
146	in_situ	june_2016	exclosed	sv1	1	27.34	82.94	10.69	21781.0298345718	80983.3617057987
151	in_situ	june_2016	exclosed	sv1	2	49.92	87.81	9.08	57386.9431723082	53610.0029045826
153	in_situ	june_2016	exclosed	sv1	2	61.36	88.43	8.33	28471.198946183	41352.1587365262
158	in_situ	june_2016	exclosed	sv2	1	48.49	86.84	10	84429.7999647633	91535.2781796196
160	in_situ	june_2016	exclosed	sv2	1	82.49	90.18	8.45	72268.2328064507	84358.3214899715
165	in_situ	june_2016	exclosed	sv2	2	44.54	NA	NA	133337.07237024	72717.6941009585
167	in_situ	june_2016	exclosed	sv2	2	72.36	NA	NA	100122.918659188	142610.504068068
226	in_situ	august_2016	grazed	sv1	1	290.59	94.66	4.68	84923.6432996983	41064.3439752972
227	in_situ	august_2016	grazed	sv1	1	69.52	93.16	6.03	92650.734181495	95749.4209434179
233	in_situ	august_2016	grazed	sv1	2	210.61	92.84	6.49	276377.56497948	230278.22410148
234	in_situ	august_2016	grazed	sv1	2	119.45	92.15	6.57	72121.1932349204	44061.1791467359
240	in_situ	august_2016	grazed	sv2	1	162.56	90.48	7.7	142812.087692175	222245.615112516
241	in_situ	august_2016	grazed	sv2	1	61.95	90.29	8.27	40899.2283129048	83496.9295623921
247	in_situ	august_2016	grazed	sv2	2	183.84	91.55	7.17	168887.672013028	232493.703755458
248	in_situ	august_2016	grazed	sv2	2	64.96	90.67	8.41	54771.6405155816	86917.0284652344
256	in_situ	august_2016	exclosed	sv1	1	96.39	86.97	10.55	47101.6969952214	55491.0550437265
258	in_situ	august_2016	exclosed	sv1	1	43.9	84.51	10.79	31839.6680135502	33807.0623800874
263	in_situ	august_2016	exclosed	sv1	2	52.52	86.93	10.49	61033.4530588976	94840.4603911101
265	in_situ	august_2016	exclosed	sv1	2	27.28	82.03	11.68	25002.1182831704	32526.2667320242
270	in_situ	august_2016	exclosed	sv2	1	32.83	87.95	9.7	93530.872223125	141713.442762311
272	in_situ	august_2016	exclosed	sv2	1	12.29	88.85	9.61	36931.1228601056	46225.5925331389
277	in_situ	august_2016	exclosed	sv2	2	18.33	87.59	9.82	89224.066663085	108859.64471394
279	in_situ	august_2016	exclosed	sv2	2	8.48	88.51	9.79	39527.6503964118	79346.4805379169
058	exp	august_2015	grazed	sv1	1	39.65	NA	NA	372219.927536231	NA
059	exp	august_2015	grazed	sv1	1	190.46	NA	NA	93677.3025441326	NA
065	exp	august_2015	grazed	sv1	2	309.09	92.89	6.29	173044.493651853	NA
066	exp	august_2015	grazed	sv1	2	78.95	87.48	8.68	39157.2315225973	NA
072	exp	august_2015	grazed	sv2	1	215.96	NA	NA	107116.343196521	NA
073	exp	august_2015	grazed	sv2	1	176.23	NA	NA	43112.8973328462	NA
079	exp	august_2015	grazed	sv2	2	230.36	NA	NA	52933.1632322096	NA
080	exp	august_2015	grazed	sv2	2	134.75	NA	NA	54164.2399534071	NA
088	exp	august_2015	exclosed	sv1	1	82.08	86.88	10.05	70037.4181851035	NA
090	exp	august_2015	exclosed	sv1	1	56.4	84.74	10.34	12900.3995574551	NA
095	exp	august_2015	exclosed	sv1	2	85.02	NA	NA	93742.9105190484	NA
097	exp	august_2015	exclosed	sv1	2	47.84	NA	NA	27544.1690218375	NA
102	exp	august_2015	exclosed	sv2	1	0	NA	NA	113941.128372854	NA
104	exp	august_2015	exclosed	sv2	1	45.8	NA	NA	52974.6383116437	NA
109	exp	august_2015	exclosed	sv2	2	44.93	NA	NA	81690.9615511132	NA
111	exp	august_2015	exclosed	sv2	2	42.94	NA	NA	26727.3137358094	NA
