114	pmoA	140731.407153323
115	pmoA	110798.828432548
121	pmoA	151394.057494165
122	pmoA	157738.215317852
128	pmoA	200080.411679545
129	pmoA	78990.3949435805
135	pmoA	148369.861236747
136	pmoA	124099.543980426
144	pmoA	122878.530560774
146	pmoA	21781.0298345718
151	pmoA	57386.9431723082
153	pmoA	28471.198946183
158	pmoA	84429.7999647633
160	pmoA	72268.2328064507
165	pmoA	133337.07237024
167	pmoA	100122.918659188
226	pmoA	84923.6432996983
227	pmoA	92650.734181495
233	pmoA	276377.56497948
234	pmoA	72121.1932349204
240	pmoA	142812.087692175
241	pmoA	40899.2283129048
247	pmoA	168887.672013028
248	pmoA	54771.6405155816
256	pmoA	47101.6969952214
258	pmoA	31839.6680135502
263	pmoA	61033.4530588976
265	pmoA	25002.1182831704
270	pmoA	93530.872223125
272	pmoA	36931.1228601056
277	pmoA	89224.066663085
279	pmoA	39527.6503964118
58	pmoA	372219.927536231
59	pmoA	93677.3025441326
65	pmoA	173044.493651853
66	pmoA	39157.2315225973
72	pmoA	107116.343196521
73	pmoA	43112.8973328462
79	pmoA	52933.1632322096
80	pmoA	54164.2399534071
88	pmoA	70037.4181851035
90	pmoA	12900.3995574551
95	pmoA	93742.9105190484
97	pmoA	27544.1690218375
102	pmoA	113941.128372854
104	pmoA	52974.6383116437
109	pmoA	81690.9615511132
111	pmoA	26727.3137358094
114	SSU	74917.3901999721
115	SSU	140460.654510241
121	SSU	120932.292451533
122	SSU	118263.626408359
128	SSU	166282.454752446
129	SSU	112713.851657489
135	SSU	164440.148473977
136	SSU	83907.9362455426
144	SSU	131109.395271346
146	SSU	80983.3617057987
151	SSU	53610.0029045826
153	SSU	41352.1587365262
158	SSU	91535.2781796196
160	SSU	84358.3214899715
165	SSU	72717.6941009585
167	SSU	142610.504068068
226	SSU	41064.3439752972
227	SSU	95749.4209434179
233	SSU	230278.22410148
234	SSU	44061.1791467359
240	SSU	222245.615112516
241	SSU	83496.9295623921
247	SSU	232493.703755458
248	SSU	86917.0284652344
256	SSU	55491.0550437265
258	SSU	33807.0623800874
263	SSU	94840.4603911101
265	SSU	32526.2667320242
270	SSU	141713.442762311
272	SSU	46225.5925331389
277	SSU	108859.64471394
279	SSU	79346.4805379169
1	exp	198157.528673788
2	exp	258360.990553995
3	exp	96250.660783345
4	exp	79197.4010949932
5	exp	137664.640324215
6	exp	135197.38604103
7	exp	202860.078780613
8	exp	242252.224608776
9	exp	96490.8038751068
10	exp	154314.089420545
11	exp	142541.988546831
12	exp	152943.567739677
13	exp	203719.681717956
14	exp	181874.510232719
15	exp	285490.14685578
16	exp	116708.172968078
17	exp	88728.0453002764
18	exp	87146.1723417973
19	exp	113625.603636019
20	exp	100373.873717278
21	exp	138606.403013183
22	exp	135178.117048346
23	exp	143248.559786427
24	exp	430502.215657312
25	exp	101038.450743755
26	exp	108681.870811918
27	exp	138154.903619111
28	exp	151804.872839642
29	exp	246343.341031563
30	exp	241149.749373433
31	exp	190711.056309083
32	exp	175539.384654666
33	exp	83104.9789272952
34	exp	62605.011765355
35	exp	88493.8048452711
36	exp	91477.2159414922
